蓉蓉子(00:00:00): 练功回来？
蓉蓉子(00:48:48): 对是很好顺移的哈，这个叫我们叫能力平移，然后在这个里面你可以来看一下，说在这个部分里面，他们是否都有获得感，如果都有，那么 OK 就解解决了。如果没有，你可以再额外新增一些小小的，比如说工作坊之前你先跟这个权总如果有需要1v1的深度沟通，先让他有获得，然后再批量化的让大家有获得嘛。

六六(00:49:19): 我约他两次1v1，他都不跟我约。

蓉蓉子(00:49:22): 没关系，那是他的问题，他没有他可能要有一点这个时间的哈，尤其对传统行业的老板，要么不够痛哈，要么这个他不知道来跟你1v1什么。

六六(00:49:43): 对我是给他弄了很多方案，就是我给他，你的他们因为已经有了什么提问七步法，然后每一个环节的复盘这些都有了。

蓉蓉子(00:49:57): 对重点哈，重点来了，你就直接，其实直接可以问他一个问题，为什么有了工具大家依旧不爱用？

六六(00:50:07): 我都反复戳。

蓉蓉子(00:50:10): 重点在工具嘛？这个是你核心要传达的嘛，你的价值理念？

蓉蓉子(00:50:22): 重点在什么销售的模式或者销售等等，就是你的这个理念，你的价值主张。他也发现这个问题！你配备了100个工具，为什么员工动不起来，他一定是智力出了问题。

蓉蓉子(00:50:48): 对所以这个也是重点解法，怎么解，就是这里后面跟权总聊的不是我带你的员工什么做什么复盘和做什么工具化的这些东西就是你一定你的重点交付的重点也不在这里。我带你的员工做复盘，只是小小的一个点，但是核心不在这里，重要的是什么，是让他们真正意识到。

蓉蓉子(00:51:16): 这个我打比方，教练是成交的魅力，或者叫顾问是成交的魅力，对就是你卖的也不是在卖这个部分。就是产品的，你的价值体现？不交房不交什么方法不是重点，不在这里。不教方法，不教工具。叫什么大大大的，其实它真正出现的问题是这个部分全部都在后面的这里。所以你后面的话术，你自己的话术你可以调一下，不是说我带你的员工去做这种什么销售的付款销售这个你你就会发现他依旧在方法层面。因为他一定你的方法，他一定也试过，他发现这些员工依旧不得行，不听听不进去，所以要在哪里破局哈，后面给权总的这个一定在员工的，我们叫这个先认知再实操。一定是在他员工的认知层面，然后再实操，里面才是方法才是具体的什么怎么哒这些东西哈什么复盘？话术的优化是在这里，这是后面的事情。所以首先要让他认知到最核心的不在这些东西上面不在复，今天有没有复盘，明天有没有优化销售话术是他自己先要认知到为什么从心心理上来说，大家不爱销售？

六六(00:53:31): 我那天过去，从下午4点，然后跟他们就跟他们三个人聊到了差不多8点钟，然后我就感受到。

蓉蓉子(00:53:32): 然后。

六六(00:53:48): 他们有两个零零后的员工，然后一个是牙医，一个是护士，然后他们就是有一个就是逃不以形的，就逃避销售这件事情。另外一件事情是低位销售。他总觉得就他想做销售这件事情，他不能掌控这个节奏。

蓉蓉子(00:54:20): 你看我们学教练就知道卡住他的一定不是那个方法和问题，他一定会有很深的限制性的信念要解的。

六六(00:54:20): 然后我就发现人类的恐惧真的是无限大。

蓉蓉子(00:54:36): 比如说销售，我觉得丢脸的不好的。所以我觉得可以以就是你看见的心或者比较开放的，你说不爱销售，我是可以理解的。那你想不想实现不消而消？如果你让一个很不爱销售的人，他强行做销售这件事情对他来说一定是痛苦的，但是他可以以他舒服的方式来做销售。

蓉蓉子(00:55:30): 对这里就有很多教练的部分嘛？系这一趴差不多。

六六(00:55:46): 还有一个事情我觉得权总真是太高了，他过来给我付费，然后让我去体验他们的牙医服务。然后检查出我牙齿有了点问题，感觉也是他在获客的一个手段，对然后主要是我觉得他也在观察我。我为什么一开始不想收他的钱就不想让他来，是因为我觉得，虽然他是一个很真诚的朝鲜族的东北大哥！但是我总感觉他是有一种那种凝视，但不是男士的凝视，他那种凝视是审视，就是看你做事情，然后再看要不要把更多的事情去交给你那种感觉。

六六(00:56:46): 我为什么两次拒绝他们，是因为我当时想创业，就是不想再听别人跟我这比比划的了，因为我很害怕，就是到时候给吴老师做这些东西，一个是吴老师他自己的理念很独特，第二个就是吴老师帮助吴老师的人都是很厉害的人，你看全总，然后还有一个友邦保险那个姐姐，她已经是总监级别的了，所以他们就他传递出来那种信息是很有压制性的，所以我就比较抗拒。我就觉得他们肯定也多方就是神仙级别的人过来扫描我。我就很有压力，就有一点压力吧！

蓉蓉子(00:57:35): 能感受得到这里其实有两个点，六六就是我们叫个人主体性和在组织中的协同。不知道你会不会有体感？

六六(00:57:58): 就是当时陈总来找我，为什么聊，第二次给我有点聊的，就是在工作室的时候，我就有点动心了的点是在于我觉得可能终局这个艺人公司的这个现阶段它只是一个。过渡阶段，然后包括你现在打的也很散嘛，然后你现在就是有点小打小闹，如果你要真变成组织，可能还是要向那种形式去靠拢，然后那个时候就。肯定会有很多的事情又由不得你自己了。

蓉蓉子(00:58:36): 没错，如果你要我说真话的话，我会说没错，因为你看我现在这两个都在战，我同时在组织中，我也同时有自己的叫个体的主体性。如果在一个组织中，是需要就是组织是有组织的一个目标，就是这个一定会牺牲掉部分的个人主体性来达到组织的协同和组织的目标，如果人人都有主体性，那这个组织是不目标，可能就会打散，因为每个人的目标不一定是组织的目标。

蓉蓉子(00:59:16): 所以这里会有一个平衡的状态，就是这里如果我们再往底下聊一下哈，如果从心这个心法层面或者叫这个叫什么，你可以下次感受一下，如果你不抗拒，你会发生什么？这是个小小的实验哈，这是实验，你可以带着实验的好玩的好奇的这个心理来看，如果我不拒绝，我不抗拒。会发生什么？

蓉蓉子(00:59:53): 这是一逆向来看，说我们再往大类就是叫臣服的时候，就是你说 yes。在这里你可以说 yes or no！因为本身它强调的就是个体，纯个体！这个可以试着玩一下。

六六(01:00:19): 你不抗拒不确定。你刚才说沉浮实验我也看了，就是我最近看的这个书单全是你前段时间发的书单，你看的这些东西我从我原来从来都不看，我也不感兴趣，我就觉得讲什么玩意，但是我就把沉浮实验业力管理能断金刚全看了。没看懂沉浮实验，我没看进去就是我觉得我感觉他们三本书全在讲一件事情就是你身体的基本盘，他们全是练瑜伽吗？

蓉蓉子(01:00:54): 这也没错！

六六(01:01:00): 你在这过程当中觉察，还有就是种子，我感觉他们三本书全在说这三件事。

蓉蓉子(01:01:04): 对在这里，你有你一定会不舒适感不舒服感哈，就是我们就要怎么说，就是这个里面你看沉浮实验主要讲什么，他有一些事情也都有一些哈，他的一些片段也都不是他非常舒服的。比如别人要去他的里面去做什么，产定去做什么，要盖房子等等，当别人在你的边界之内的话，你一定会有不舒服在组织里面。但是当你不抗拒的时候，你你再来看它会不会是一个礼物或者是打开你的一个视角。

蓉蓉子(01:01:54): 其实我理解他更多的是说你真正是不是能真正的打开自己，让自己像那个水一样的，就是你是否能喜欢你不喜欢的事情，并且把不喜欢的事情还能做好。要臣服每一个当下，因为你不可能遇到所有的事情，或者我们所有选的瓜都是甜的。

六六(01:02:19): 好棒。

蓉蓉子(01:02:25): 就是做好你的每一件交给你的每一件看似的小事情，你感知一下你感知下那个六六会不会更有这个另外一个维度的升级？因为你一定会面临到的，不管在哪里，我们说不管一人公司还是你你未来是逃不开的。

蓉蓉子(01:02:55): 然后是 AI 相关的这个应用是吧 U mind 还可以和迭代的空间和 O 大脑 obsessing 和 work buddy 的组合拳哈对，然后你自己 obsessing 有做那个搭建吗？

六六(01:03:16): 没有就是因为我最近不是在开始交付了吗？然后交付的话我有很多的触点，一个是平时的社群里面，然后另外一个就是他们有可能会跟我私聊，第三个就是1v1的场景，然后第四个就是上课，第5个就是大家的复盘，然后所以我在想怎么能把这个一个人跟我的触点，然后把他梳理成就是属于这个人一侧，他单独的线，然后这样的话，最后我最终交付的时候也有一个就是不是让他感觉大家来了就开心，完了就走，至少有一些。

蓉蓉子(01:03:17): 先说你你为什么想要做这件事情？

六六(01:04:02): 或者是后续的一些她可以做的方向，首先是能把这个东西结构化，然后第二个是也用这个方式去呈现出来，就交付它也是一个完整的。东西，然后第三点就是可以促进他后续的行动。对，就这个目的。

蓉蓉子(01:04:23): 这个里面有几个事，就是我们先说理想态达成什么哈，其实你你这个说的再专一点术语叫全生命周期的客户管理？从触点到这个交付以及到后面的等等的这个阶段，就这个里面有几个事就是首先是这个客户档案的事。然后首先让他有基本的，你的客户的档案的部分。然后是你的交付过程的，这个叫我们叫可视化也行，或者是可追溯也行，就是这个里面有两个，第一是你看得到，第二是客户看得到。你现在看到的我们的这个所谓的这个我们是叫交付的可视化，你看得到你也能追溯我们之前聊过啥，你一开始是咋来的，等等哈。是给你自己的，我们一会再说工具的事，然后交付你看看还有啥交付的还有。可能会有一些还有一些过程中的哈过程中的记录，比如说各种你的各种的录制。还有你的咨询的组织，这个叫咨询的记录等，这个是交付的过程中的。这样写哈。开头中间和交付。

蓉蓉子(01:06:21): 然后再说 obesity 和飞速的关系哈好 obsidian 它的优势，它是叫本地的文件夹管理，简单说，文件夹的管理它是云端的。云端的这个只是协同的管理，涉及到协同相关的建议，在飞书知识库，这个很清楚，这个就很方便了，然后是给谁的，其实就是给你自己的，因为它的优势是本地，它的劣势是很难传输，除非你从本地的文件夹你丢给别人。所以哈就建议两个都有，现在我们有的是这个飞书就是你自己也能看，你也可以发给别人看。然后 obsiting，这个相当于就是你在自己的本地，又建了一个自己的一个第二大脑。那怎么把这个做联动哈，把你现在主要的是不是都在飞书，你主要的来源在飞书？直接从等一下我直接给你演示，从飞书一件迁移到 oppo C od。好用什么迁移用 Work buddy. 我可拜的，你已经下载了已经在用了？

六六(01:08:02): 昨天救了我大命了，简直了。

蓉蓉子(01:08:05): 我今天再给你救个大命哈，就是让你感受一下一键迁移哈，就是一键建，我直接给你看一下哈，我先给你看一下，当然这个就是所有的知识库类的，都是一个不断完善和调优的过程，你可以参考这个逻辑哈，我把我的 OP 大大脑打开。

蓉蓉子(01:08:29): 你现在可以看到我的屏幕吗？

六六(01:08:32): 我现在飞书里面。

蓉蓉子(01:08:34): 好，我给你直接结束哈，我给你共享一下桌面。现在可以看到！你先看一下结构哈，先看结构，我们再说怎么签。

六六(01:08:50): 这个结构已经跟六六扇门的结构是不一样的了 inbox row wiki。

蓉蓉子(01:08:53): 这个结构逻辑是什么？还是把大象放到冰箱里需要几步，你感受一下哈 in box in box 这个就是我们之前说到的脏区？

六六(01:09:01): 哈哈哈。

蓉蓉子(01:09:08): 肉是这个我们叫这个输入区输入你的所有的输入人类的输入是在肉区的，不管是你的课程类的，你的碎片类的，你的各种，你看这个咨询中的记录类的。以及你看到的好的这种行业的文章等等，这些都叫输入行。

六六(01:09:32): 我之前已经把有些书类的放到几号几间房里头了？

蓉蓉子(01:09:39): 对好马上我会讲。wiki wiki 的这个是我们说这个 capri 它提出来一个叫 AI 自动帮你规整的一个过程，它基于什么帮你规整，它基于你的输入帮你规整，比如说你输入了。这个叫我们叫公众号，我打比方哈，你输入很多的公众号，它会给你输出什么哈，我大概给你看一下哈，他在你说过什么，这个规则我们提前会告诉他哈，就是你的，你说过了啥，你说过了，有一些你看我之前这个做了公众号历史文章的整体的梳理的时候，他会给我出什么风格采样，就是你的风格，观点型的，你是咋说的，故事型的，你是咋说的，对话类的，你是咋说的，他都是从原文直接筛下来的哈。

蓉蓉子(01:10:36): 然后有风格特征的总结是啥？核心的母题是啥等等，你的语气特征是啥，这个是它可以叫这个 AI 可以帮我们自动化或者结构化做的一个事。包括你说过的京剧，你的观点，你的代表作？它会自动给你来做，我基于你看了你这么多篇文章，你大概你在讲哪几个事儿，哪几件事儿里，他自己是他自己选的哪几篇他是入选的，为啥入选？

六六(01:11:21): 提问。

蓉蓉子(01:11:22): 那你说。

六六(01:11:23): 提问。所以他你看你这上面不是有日期吗？2026年5月2号代表作清单，他这个 wiki 层的这个就是他总结出来的东西是根据你上边的那个上面一层是啥来着，肉层的东西，然后你你这里就你只要这里更新了下面的东西一起更新，它还是自动的对吗？

蓉蓉子(01:11:39): 肉层。对好，你问了个好好问题哈，好，结果讲完最最最重要的哈，你看你可以把它类比为他是我们的一个私人图书管理员哈！它靠什么运作哈，它靠它的叫我们叫 cloud 点 md，或者是这个规则点 md 都可以的，就是它核心是定义了 AI 和我们怎么去做协作的一个契约。

蓉蓉子(01:12:13): 每次对话的时候 AI 会先读哪个文件，先读 claude 点 md？先看逻辑，我们等一下，我只会直接给你一个目录，你让那个 workbuddy 先建知识库的1.0，因为你之前有基础，你是很快的，但是逻辑更重要哈，就是 claude 点 MD 你可以把它理解为是你的一个。你跟图书管理员的这个契约，然后这个里面是你和这个 AI 共同协作的 ok waking 层是 AI 工作的区域。如果他写错了，你告诉他来改这个地方不是你写的，谁哪个地方是他只读的，你输入的是肉层，所以我们要干的是两件事儿。第一，你不断给他做输入。第二，你不断定义和他的规则。

蓉蓉子(01:13:15): 你要怎么给我干活，给我工作？

六六(01:13:16): 那岂不是我们之前做 vk 层全是人人在干？

蓉蓉子(01:13:25): 你可以这么理解，就是之前没有这个我们叫这个它的新模式哈 LLM 的这个 waking 的这个部分的时候，我们自己人为做了一层叫结构化的 waking 层叫中间层。因为从去年哈，我会意识到 AI 读的 AI 需要的不是我们这些东西。

蓉蓉子(01:13:53): AI 需要的是经过结构化提炼的这些东西，然后 capri 他提出来这个三层结构哈，他应该4月份吧哈，4月多份提出来以后说好以后人工也不需要来做这一层了。那人工做什么做定义，所以确实我觉得这他的这个理念很好，很一个点就是他的这个新技术也这个还开源了，所以可以直接用。

蓉蓉子(01:14:23): 然后之前的哈之前的也都很有用，因为你能看到我很多这个都是基于我之前的这个六间房，他给我直接提炼的，如果没有六间房，他依旧不知道怎么去给我做快速的提炼，这个都是六六间房来的。

蓉蓉子(01:14:39): 我的飞书六间房，然后他自己夸夸，因为我们已经相对结构化的梳理了，所以他很清楚我们的这些，你看知识体系能力数方法论。我们要做的是啥，要做的是让他不断做基于我们的基础不断做优化。

蓉蓉子(01:15:05): 我给你再看一下这个 cloud 点 md 哈好，你大概看一下这个结构哈，这个是我迭代后的哈，我等一下会给你发一个1.0的版本，可以持续迭代，就大概这个里面分成了几个部分哈，可以这个根据每个人的情况来，相当于就是我们和 AI 签了一份这个写作的合同里面你看你要怎么写，我会把我的大概的一些状态告诉他，诶，我的真实的情况告诉他我的使命是啥，告诉他我会啥告诉他，我的用户是谁？我写作风格哒，当然这些也是 AI 全部提炼的哈。

蓉蓉子(01:15:42): 思考框架是啥？最最最重要的哈就是它的边界是什么，就是我们在合同里面一样的哈，我们和人有边界和 AI 也要有边界。他必须遵守的底线，这些是什么？比如说对外发布必须经过我确认才能发他信息不确定的，他要明确说我不确定。他不能给我编造信息以及价值观的判断以对学员就是类似这种隐私的保护。

蓉蓉子(01:16:13): 对，然后还有一个在 claude 点 md 里非常重要的就是他怎么为我们工作流的规则是啥？当我们摄入新素材的时候，它要帮我干啥，你看我写的，它要帮我这个识别，这个判断属于哪个房间？他要给我提炼要点详细内容的话，完整内容，他放到下面有一些完整的一些内容，同时更新这个索引，这个是个索引哈，等一下我给你看一下，以及如果有关联母题的话，它会给我判断那个属于关联母题的哪个方向。

六六(01:16:53): 所以咱连输入都不用手动输了，是不是咱就直接呱呱往里扔就完事了？

蓉蓉子(01:16:58): 输入还是需要的就摄入这个层哈，这一层只是相当于我们之前提炼的这个信息可以让他直接同步签了。当然签的这个过程中，你可能也会有这个肉的部分就是你自己的原始的输入加这个提炼过的一些部分，让它基于六间粉房再次的提炼。因为你提炼过一次了，它提炼的会就相对会更精准了，当我们向这个知识库提问的时候，它要怎么去做这个定位，怎么读，怎么回？体检定期的给我们体检有没有矛盾的信息，孤立的页面，缺失的概念！你先理解这个逻辑上没问题哈，逻辑上清晰的哈，对，然后在过程里面就是不断的去做这个调优哈，你看后面是他自己给我加出来的一些东西。

六六(01:17:53): 没问题。

蓉蓉子(01:18:08): 好，然后我们现在要做啥哈，我们现在要做，我看一下哈，我们现在先做一件事，先做这个 opposing 的。这个知识库的 MVP，我可以，我直接给你发一个目录！让你见那个签一下。

六六(01:18:31): 还好所有的东西都在飞书里面，人家迁起来是很快的。

蓉蓉子(01:18:34): 非常快，其实我给你找一下哈。给你看两个东西！好信息卡怎么到 obsidian 的最短路径哈，大概看一下我们手上有这些卡，然后这个 work buddy 你已经有了，然后在这个里面你给他开开通两个套件。开通两个这个技能就是让他能读到你的飞书是这两个，我标注了哈，你给他直接打开就好了，最短路径。就是在那个 workbuddy 里的你的龙虾这个 clow 里面发送哈，你可以告诉他，你说请根据我的飞速六间房，把你的飞速六六间房的链接带上和 capri 的三层结构。帮我把知识库导入到 opacity 大脑里面并提炼为 wiki 的信息卡。

六六(01:19:37): 妈，这岂不是很快？

蓉蓉子(01:19:39): 然后如果你的不知道这个 capri 的话，你可以给他带上，你说 capri 的三层结构是这个就我们刚刚讲的肉区 waking 区 output 区和 cloud 点 md，就是这个就是核心它的几层这个架构作用是啥，告诉它。

蓉蓉子(01:19:58): 需要的话就是你可以把这一整段话你都贴给他，然后他会指引你，因为每一个人的他的龙虾的那个反应哈，根据模型可能都。不太一样，但是大意上差不多，它会自动帮你来读取这个文章，按你的结构分类，然后更新信息卡更新索引，我们需要提供什么哈。如果 AI 问起来的话，你告诉它啥，你告诉它这里有个很关键的哈，就是你告诉它在哪里给你建，比如说。你在对这里有个小细节，你首先在你的桌面上新建一个文件夹，你在桌面新建在这里新建文件夹哈，比如说就哈。新建文件夹建出来以后，你在你的这个 O 不的里面，你可以检查一下这个仓库的。就是你给他一个你的知识库的路径，这个路径核心是什么？就是你在哪里帮我填内容，首先让他给你确认这个目录的框架，就是按照 copy 的这三层目录，先给你建好这个叫框架，建好以后你告诉他说，你说我的知识库路径是这个或者简单一点。

蓉蓉子(01:21:27): 简单一点，你在新建任务里面选择工作空间，把你刚刚建的那个文件夹，比如说叫你的 OP 大脑。你选中一下，你在这里跟他对话，你说基于我给你的文件夹你帮我把飞书的这个叫。六间房和 corporate 的三层结构对应一下，并且给我导入到这个 open 里面，如果你不确定的话，你想让他，你怕他出错的话，你说先帮我建建这个目录结构给我确认。建好目录再填充内容，你说，现在我目录确认了，你可以逐步填充了，你先给我填充02wiki 的前三个房间。清晰吗？

六六(01:22:18): 亲亲刚才说建文件夹是给 O pc in 大脑用的？

蓉蓉子(01:22:23): 对就是你会发现哈，你最后出来的这个文件夹和你的 O PC D 里面长得是一样的，你看我给你打开 OP 大脑哈，你看001 box01肉它就基于本地文件夹的管理。

蓉蓉子(01:22:37): 然后我再给你个东西 claude 点 md，我看我给你，我看下我的，我看能不能直接给你，是你跟他的一个协作，你不要全部复制哈。可能会不太适用你！他给我打开到哪里了？你看这个是 claude 点 md 我现在的我把这个直接发给你，你基于这个删减一下。

蓉蓉子(01:23:15): 好，还是你要我的1.0我1.0也有的哈，我给学员的，你要哪个我都方便，但是我是核心，怕你，你直接抄完以后给你劈叉掉。

六六(01:23:20): 你看你哪个方便给我？我懂了，有些信息我需要逐一核实一下，没问题。

蓉蓉子(01:23:33): 你懂吗？对，就是因为这个是我跟他的协作协议，我这样吧，我给你个空模板吧，我怕你别给你整劈叉了哈我。我给你找一下。稍等我想一想，我直接打开那个我的开音直播里面有的哈，我给你单独给你复制一下吧，复制到你的这个咱们的。需要的话我可以把这个文档给你。我的开营直播？

六六(01:24:26): cloud 点 md 跟 cloud 有什么关系？没声儿了蓉。是不是卡了？

蓉蓉子(01:24:59): 卡了吗。看不到我刚没听见六六你你要不再说一下？

六六(01:25:02): 我刚才问的问题你听见了没？妈，我的问题都给卡没了吗？我的问题是这个 claude 点 md 跟 claude 有什么区别？

蓉蓉子(01:25:12): 我给你直接放这里！这个是一个规则点 md 可以不叫 cloud 点 md。为什么叫哈，因为因为 opacity 里面有个好处，它可以直接把 cloud code 嵌入进来，你可以把它理解为它是。

六六(01:25:30): 我的妈套娃。

蓉蓉子(01:25:31): Sham 点 md 就是它是叫规则点 md 不是一定要叫这个的。对方便一点通用一点。比如说我在这个 claude 设定里面，你看直接把这个 claude这个，这个 claudec ode 嵌入进来以后，它就，你就可以直接基于它跟它不断对话，它就会每次去读 claude md。的部分。先从1.0开始，我把这个给你带过来，就是旧版信息卡的。你可以先试着让那个 workbuddy 哈给你先做一次整体的迁移好核心就是让他读你的知识库，让他基于 cypress 的最新的架构帮你建目录，帮你填内容。同时，你告诉他你的 cloud 点 md 就是我们之间的这个规则是啥，这个是个1.0的版本就是最核心，就是说你是谁？六六讲话是个啥？如果有写作的话，你把写作的一些带上就是最重要的就是你要咋工作，我后面问你的时候你要怎么去帮我查，我们俩之间的这个边界是啥？还有就是你要帮我定期体检，就这几个事儿告诉他就好了。完美。是不是都解了？

六六(01:27:07): 你能知道我看到你们在那石头上酷酷一顿贱，然后我在外面截肢跺脚的感觉。

蓉蓉子(01:27:12): 是这个确实哈，我也发现了，我也发现 AI 的速度技术实在是太快了。工具迭代的也快，然后速度也快，所以我后面6月份可能会暂停一下这个开营，但是我们看看有没有更好的一种方式能让大家支持到大家。确实太快了。没关系，还好你是私教会员，你永远都是最新的！

六六(01:27:38): 笑死了，不是我是在想，真的就那天我其实想问你这个就是这样去做产品设计合不合适，但是我又怕冲突到你的那个成本相关的问题就是我当时是这样想的，你来听听看！

六六(01:28:00): 就我想的是就是我们出去学专业技术的时候是有一种权意识，就比如说，你可以免费复训一次，然后但它是就比如说有时间限制或者它有学科的限制，然后我在想你的，如果不是你的私教的会员，然后他们比如说4月份，然后把 U mind 的知识库搞好了，但是它其实依然在使用这个东西，而不是说建完了就放那里不用的这些人他们还在需要去迭代，因为我自己也发现，这次发售其实它已经不够用了，但是它能帮我托一个底。多东西它里边有，所以它能帮我托底，但是它已经有点鬼打墙了，然后再加上工具一迭代，然后你就发现你你虽然说工具不重要，但是大家还是很焦虑工具，所以就是看能不能这些已经服务过的客户，比如说也提供一些什么，能让他们也在。

六六(01:29:00): 再刷新一次这样子，我是这样想的，但我就没有考虑过你那里，我所以我没有跟你说嘛，当时因为很害怕，觉得到时候我说出来这个东西，你觉得它成本太啥了，因为你你办实操营它也是一部分营收嘛。

蓉蓉子(01:29:04): 可以的。

六六(01:29:17): 我不知道有没有，现在就比如说4月份来参加5月份还参加6月份参加的。

蓉蓉子(01:29:23): 有的有那个5月份的复训有一半左右都是4月份复训的，但复训我其实我就让他们补了个差价，因为4月份的时候是1599嘛，5月份的时候确实这个内容体系比较庞大，我又相当于就是重新设计了课程的体系，然后时间也从14天变成21天，所以复训学员是补了差价的，然后私教我是觉得这样的就是如果你觉得有必要参加的话，我觉得私教学员是都可以参加的。我是担心你的这个时间或者是有一些私教学员，他的那个阶段可能没到这里，就是你没到这里，他就觉得靠我这完全跟不上了。

蓉蓉子(01:30:10): 我确实这一次发现了有一些学员是跟不上的，能改的吗？就是他也不是不行，他的工具的做用工具依旧也有从认识认知意识到它的增值使用的那个 gap 的。

六六(01:30:27): 我觉得跟不上一个是就是他就是这像这次我发售的时候也在考虑到底我卖这个产品给谁嘛，就是我当时考虑的，如果他没有产品的话，我就不想卖给他。然后但是林子说，如果他没有产品的话，你可以让他代销你的产品或者代销其他人的产品嘛。

蓉蓉子(01:30:44): 是的。

六六(01:30:44): 对，所以我觉得可能很多人他是没有真实场景的，跟他没有过去的东西积累的，然后以及他要做的事情的，所以他跟不上，这三点我觉得。

蓉蓉子(01:30:50): 是的。是的。

六六(01:30:58): 不是真正他应用上卡住了，是因为他没有地方用他也没有过去的一些东西，你让他搞这些东西，他肯定搞不出来。

蓉蓉子(01:31:06): 对，但他还想来！

六六(01:31:09): 这就是人的欲望嘛，人就是要追逐人就要追逐，就是觉得别人都弄了，然后但是你发现别人有真正实真实场景，你没有真实场景。

蓉蓉子(01:31:13): 对你要有时间，5月的时候你也来听你可以来听哈，我今天晚上会有一场直播二教啥哈教那个 work buddy workbuddy 怎么做这个入库工作流就是我们从微信上接通微信。clawdbot clawdbot 就是我从微信发灵感发我的日常碎片，让 O O 的大脑自动梳理。

六六(01:31:45): 你在说什么，刚才我宕机了半秒半分钟。

蓉蓉子(01:31:52): 其实就是那个微信入库，我们的知识库不是建好以后你看我们 setting 建好以后我们是要做不断的输入的嘛，输入你有电脑上的输入。你也有手机上的输入，我这是想给大家讲一下这个输入的流程就是知识库是怎么运转的，怎么把它火起来的，你的输入你可以从电脑上这是第一天直播已经教过了你电脑上你不断的这个肉模式，你就往进输就好了，第二种就是懒人版，因为大部分人就是微信是，手机是经常在身边的你不一定在电脑身边，那微信我怎么让我的微信的这个机器人帮我做这个知识库的梳理？

六六(01:32:33): 手机控制电脑干活，这不刚哥也老干这事儿吗？还。

蓉蓉子(01:32:41): 就这么个事，你要有时间可以来旁听哈，可以来听一下，感受一下。

六六(01:32:50): 好我把我，我把刚哥的工作房也买了笑死了。

蓉蓉子(01:32:55): 对，就你会发现，其实这个怎么说哈，我其实也在想一种更好的形态，我觉得到时候我们可以展开讲，就是赢的方式，确实是会有点累的哈，我觉得因为他变化实在太快了，你要不断的去准备最新的，你说的有没有一种很好的方式哈，比如说大家已经在这个赛道里不断，就是要精进的，那是不是有一个很好的场域可以给大家不断的学习和共同的，不管是通过直播或者是通通过答疑的方式让大家共同成长。因为这种时候确实是需要有氛围的。这个确实。所以我到时候看看，我要不要做一个瞎玩社群哈！

六六(01:33:43): 可以的。

蓉蓉子(01:33:44): 因为我也发现了，你会发现，只要你想学永远都是可以被迭代的。你参加一个营，你会发现后面又升级了，你后面可能还会升级，那既然这样的话可以有一个更打开的，我觉得更打开的场域就是只要大家想学，你就我可以定时或者是以什么方式你就跟就好了。就是你你之前说的那个年费，也不会贵的，我不会说很贵的就几百块钱，可能大家就是根据自己的时间来就好了。

六六(01:34:26): 但是你看你你看就是我们在追逐导致你也得追逐。

蓉蓉子(01:34:33): 所以我现在不太想要，我不知道你有没有这样的体感就是当然追逐是天性哈，追逐的时候我们可以有节奏，有目的去追，因为你如果真的在追逐这个路径上的话，你越追逐越迷失越焦虑。

六六(01:34:52): 是的！

蓉蓉子(01:34:53): 对，所以我觉得看有没有很好的一个一个方式，因为你看像工作坊像训练营这种都是叫阶段性的。这个是阶段性的一期一期一期一会，但是大家又期望的不是一期一会是每期一会？

六六(01:35:16): 哈哈。

蓉蓉子(01:35:18): 所以我觉得你之前给我提了个你提了个点子很好，就是你看这个影也开了这么多期了，是不是大家可以传一传，可能在一个共同的一个场域里面，针对老学员，其实就是给大家这个大优惠嘛，其实就给大家一个最低的一个门槛，大家进来一起玩。私教客户也是这样的，就给大家最低的门槛进来玩外场的人也可以来玩。

六六(01:35:48): 好，你的产品又迭代了。

蓉蓉子(01:35:50): 又觉得对我打算做一个这样的你自己感觉你会感兴趣吗？

六六(01:35:56): 我因为我之前想的可能还是因为我不确定你是不是还继续半营，我有这个想法的时候，可能已经是半个月前的事情了嘛，然后那会我就看到你又在迭代那个新的产品，然后我就想说你这样哪是个头，然后。

蓉蓉子(01:36:12): 太累了！

六六(01:36:13): 对，然后主要是全是属于有责任心的，就不会做烂尾的，所以就这样会很累嘛，我当时就在想，你要是能把这些有需求的在第二批也勺上，然后就每次你迭代就能少上前一批，这样你的能客户，他们至少愿意跟的也没有落下就是，而且他也在更新，我是这样想的，一开始。

蓉蓉子(01:36:38): 有的人已经跟了有一个学员从3月跟到现在了第三期。

六六(01:36:46): 笑死了，这是真爱了，那没有转化成功私教吗？

蓉蓉子(01:36:50): 对因为她的基础确实比较差，就是她的基础，她确实在1.1.1.1点跟哈，所以我觉得慢慢来哈，就私教，如果没有基础，其实对于我们来说也会累的。你想我说我觉得他现在状态挺好，我说你就不断跟好了，就不断的从工具入手，先慢慢有体感再说。

